NPOPA$	NPOPB$	NPOPC$	NPOPD$	NPOPE$	NG4	NG2	NG1	NG3	TE$	TED$	TDC$	TCB$	TBA$	ASY	aAYS	TF$	TD$	TC$	TB$	TA$	MaxEstLhood	MaxObsLhood
169247	311	14171	1210	179	293853	436335	31980	544857	49726	136	2880	3038	7705	0.0562227	0.9437773	49725	49862	52742	55780	63485	-471416.224	-470942.352
169247	311	13169310	1210	169	293853	436335	31980	544857	49726	124	2880	1168	7705	0.0588106	0.9411894	49725	49850	52730	53898	61603	-484211.450	-483732.544
169247	311	637548	1210	178	293853	436335	31980	544857	49726	137	2880	7267	7705	0.0600886	0.9399114	49725	49863	52743	60010	67715	-481104.400	-480623.407
169247	311	10905438	1210	149	293853	436335	31980	544857	49726	115	2880	10053	7705	0.0562676	0.9437324	49725	49841	52721	62774	70479	-473561.103	-473051.008
169247	329	13719	1210	173	293853	436335	31980	544857	49727	123	2880	6370	7705	0.0556261	0.9443739	49726	49850	52730	59100	66805	-484593.279	-484089.040
169247	311	1767358	1210	172	293853	436335	31980	544857	49727	123	2880	1716	7705	0.0547359	0.9452641	49726	49850	52730	54446	62151	-478098.529	-477574.459
169247	311	5264330	1210	173	293853	436335	31980	544857	49726	117	2880	6932	7705	0.0595510	0.9404490	49725	49843	52723	59655	67360	-477023.552	-476561.456
169247	311	230527	1210	158	293853	436335	31980	544857	49726	120	2880	3458	7705	0.0575826	0.9424174	49725	49846	52726	56184	63889	-479685.984	-479212.722
169247	311	121717	1210	156	293853	436335	31980	544857	49726	110	2880	11857	7705	0.0585378	0.9414622	49725	49836	52716	64573	72278	-473861.305	-473332.121
169247	311	1581597	1210	179	293853	436335	31980	544857	49726	127	2880	3675	7705	0.0571969	0.9428031	49725	49853	52733	56408	64113	-481352.653	-480833.051
169247	311	906756	1210	166	293853	436335	31980	544857	49726	117	2880	48837	7705	0.0554145	0.9445855	49725	49843	52723	101560	109265	-483158.177	-482609.704
169247	311	262425	1210	170	293853	436335	31980	544857	49726	117	2880	11529	7705	0.0585272	0.9414728	49725	49843	52723	64252	71957	-483904.096	-483353.906
169247	311	8442773	1210	168	293853	436335	31980	544857	49726	123	2880	2666	7705	0.0597973	0.9402027	49725	49849	52729	55395	63100	-485403.165	-484843.396
169247	309	227865	1210	175	293853	436335	31980	544857	49726	121	2880	6006	7705	0.0548706	0.9451294	49725	49847	52727	58733	66438	-477619.880	-477111.474
